"Add Recipient","Agregar destinatario"
"Max Recipients","Cantidad máxima de destinatarios"
"Email:","Correo electrónico:"
"Email Address","Dirección de Correo electrónico"
"Email Address:","Dirección de Correo electrónico:"
"Email to a Friend","Enviar correo electrónico a un amigo"
"Enabled","Habilitado"
"Limit Sending By","Limitar el envío por"
"Maximum %d email addresses allowed.","Maximum %d email addresses allowed."
"Max Products Sent in 1 Hour","Máxima cantidad de productos enviados en 1 hora"
"Message:","Message:"
"Name","Name"
"Name:","Name:"
"Allow for Guests","Permitido para Invitados"
"Email templates","Plantillas de correo electrónico"
"Recipient:","Recipient:"
"Sender:","Remitente:"
"Remove Email","Remove Email"
"Link to a friend was sent.","Se envió el enlace su amigo"
"Select email template","Select email template"
"Send email","Send email"
"Send product to a friend","Send product to a friend"
"Some emails was not sent","Some emails was not sent"
"Some problems with data.","Some problems with data."
"You cannot email this product to a friend","You cannot email this product to a friend"
"You cannot send more than %d times in an hour","You cannot send more than %d times in an hour"
